time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr,time_s,dt,velocity_raw,accel_raw,velocity_smooth,accel_smooth
2026-06-12T14:49:45,12.609143,100.941299,5.3,12,2276539,104.44,38.58,996.14,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.9,-94.6,-0.369,port2,-88,11.75,9.719,0.6669999999999998,0.14992503748125088,-134.5501796962723,63.271152466481894,-21.170172880147497
2026-06-12T14:49:45,12.609143,100.941299,5.3,12,2277214,190.26,38.58,992.14,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.9,-102.0,-0.398,port1,-87,11.75,10.394,0.6750000000000007,127.1407407407406,188.13454178260625,53.51201850166457,-59.6310620758559
2026-06-12T14:49:46,12.609143,100.941299,5.3,12,2277481,203.71,38.58,989.02,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.872,-92.3,-0.357,port1,-86,10.5,10.661,0.26699999999999946,50.374531835206156,-287.51389103196476,36.344979821193064,-70.76132051492704
2026-06-12T14:49:46,12.609143,100.941299,5.3,12,2277881,203.71,38.58,989.02,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.872,-92.3,-0.357,port1,-86,10.5,11.061,0.40000000000000036,0.0,-125.93632958801528,43.55309005179204,-34.28855401080985
2026-06-12T14:49:47,12.609143,100.941299,5.3,12,2278551,206.43,38.58,988.7,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.884,-97.3,-0.378,port1,-89,11.25,11.731,0.6699999999999999,4.059701492537312,6.059255959010914,24.23854429527323,-73.59631864007537
2026-06-12T14:49:48,12.609143,100.941299,5.3,12,2279223,230.75,38.58,985.84,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.892,-97.3,-0.379,port1,-89,11.75,12.403,0.6720000000000006,36.19047619047615,47.8136528243137,19.388006427489053,-17.41483893646438
2026-06-12T14:49:48,12.609143,100.941299,5.3,12,2279892,251.2,38.58,983.44,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.888,-96.3,-0.374,port1,-91,9.75,13.072,0.6689999999999987,30.568011958146528,-8.40428136372142,23.183864415654742,5.659245751713587
2026-06-12T14:49:49,12.609143,100.941299,5.3,12,2280565,268.78,38.58,981.38,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.88,-108.4,-0.421,port1,-91,10.25,13.745,0.673,26.121842496285264,-6.6064925139097515,25.20622644272867,3.049784585224925
2026-06-12T14:49:50,12.609143,100.941299,5.3,12,2281241,281.61,38.58,979.88,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.872,-102.5,-0.397,port1,-91,10.25,14.421,0.6760000000000002,18.97928994082846,-10.56590614712545,19.568714295012455,-8.311370520749158
2026-06-12T14:49:50,12.609143,100.941299,5.3,12,2281929,291.36,38.58,978.74,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.888,-92.6,-0.36,port1,-92,11.0,15.109,0.6880000000000006,14.171511627906964,-6.988049873432398,13.955111903383145,-8.239553853822153
2026-06-12T14:49:51,12.609145,100.941299,5.3,12,2282615,296.85,38.59,978.1,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.892,-97.4,-0.379,port1,-93,10.0,15.795,0.6859999999999999,8.002915451895058,-8.992122705556715,7.982562909220708,-8.73511196662299
2026-06-12T14:49:52,12.609145,100.941299,5.3,12,2283299,298.56,38.59,977.9,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.896,-98.8,-0.385,port1,-96,7.5,16.479,0.6839999999999993,2.499999999999973,-8.04519802908639,2.346356590140639,-8.207079991202248
2026-06-12T14:49:52,12.609145,100.941299,5.3,12,2283986,295.99,38.59,978.2,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.892,-96.5,-0.376,port1,-96,10.25,17.166,0.6870000000000012,-3.7409024745269126,-9.084283077913938,-3.4864858814261552,-8.500260987422376
2026-06-12T14:49:53,12.608959,100.941246,5.3,12,2284675,289.65,38.59,978.94,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.888,-98.2,-0.382,port1,-94,10.25,17.855,0.6890000000000001,-9.201741654571888,-7.925746270021736,-9.153832397059155,-8.252233078050635
2026-06-12T14:49:54,12.608959,100.941246,5.3,12,2285360,279.38,38.59,980.14,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.88,-92.6,-0.359,port1,-93,10.75,18.54,0.6849999999999987,-14.992700729927009,-8.453954854533038,-14.747089211980244,-8.115924303893486
