# boot millis=1598]j $Li deFSi)1328 4/ 1781792&Jyuep usee *6/)
C
# RSSI=-121 SNR=-10.75
2619,0.000000,0*000c 0-0+ 2,0, . 0,□.86, Mp8,0 4:0,c  00, (0□bz.0.□  0,0N  045f000□9&0□  ,0` 4 ,H 00 - .40	f 8.0 8.0□/ .00 &12 x 00Qи.0`f□
# RSSI=-120 SNR=-5.00
93727,0.000000,0.000000,0.00,0,40.63,28.93,1008.38,-1.7109,0.6836,-3.2969,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-108.000,-0.402,
# RSSI=-83 SNR=12.00
94318,0.000000,0.000000,0.00,0,40.46,29.00,1008.40,-1.7148,-1.4180,-4.3359,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-103.200,-0.384,
# RSSI=-85 SNR=11.75
94933,0.000000,0.000000,0.00,0,40.46,29.07,1008.40,0.0000,0.0000,0.0000,-0.6758,-0.7695,-1.0781,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-115.500,-0.430,
# RSSI=-88 SNR=11.75
95538,0.000000,0.000000,0.00,0,40.63,29.12,1008.38,-0.7148,-4.2461,-0.2070,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.736,-111.600,-0.417,
# RSSI=-86 SNR=12.00
96158,0.000000,0.000000,0.00,0,40.12,29.17,1008.44,-1.0352,0.6133,-2.5117,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-111.200,-0.414,
# RSSI=-83 SNR=11.75
96815,0.000000,0.000000,0.00,0,40.46,29.22,1008.40,-3.3984,-2.3633,3.2969,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-109.100,-0.406,
# RSSI=-79 SNR=12.25
97411,0.000000,0.000000,0.00,0,44.47,29.27,1007.92,0.0000,0.0000,0.0000,0.1328,-0.3301,0.5137,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.728,-104.300,-0.389,
# RSSI=-85 SNR=11.75
97991,0.000000,0.000000,0.00,0,40.29,29.31,1008.42,-3.6602,3.2617,6.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.712,-105.600,-0.392,
# RSSI=-78 SNR=11.75
98594,0.000000,0.000000,0.00,0,49.15,29.32,1007.36,0.0000,0.0000,0.0000,1.3887,0.5469,0.5234,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-101.500,-0.378,
# RSSI=-90 SNR=11.75
99175,0.000000,0.000000,0.00,0,52.67,29.34,1006.94,-3.1523,3.0547,5.1211,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-106.500,-0.398,
# RSSI=-89 SNR=11.75
99773,0.000000,0.000000,0.00,0,46.14,29.39,1007.72,0.0000,0.0000,0.0000,0.2773,1.1152,-1.3828,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-101.100,-0.376,
# RSSI=-89 SNR=11.75
100472,0.000000,0.000000,0.00,0,42.63,29.41,1008.14,0.8164,-0.9883,1.4648,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-106.600,-0.399,
# RSSI=-94 SNR=11.75
101051,0.000000,0.000000,0.00,0,40.29,29.45,1008.42,0.0000,0.0000,0.0000,-0.1309,-0.7168,0.9980,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.736,-101.600,-0.380,
# RSSI=-95 SNR=11.50
101627,0.000000,0.000000,0.00,0,41.96,29.45,1008.22,-1.0820,1.7617,0.3164,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-94.400,-0.352,
# RSSI=-88 SNR=11.75
102211,0.000000,0.000000,0.00,0,47.98,29.45,1007.50,0.0000,0.0000,0.0000,-0.0820,-0.8438,-0.1816,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.744,-104.700,-0.392,
# RSSI=-91 SNR=11.50
102787,0.000000,0.000000,0.00,0,46.81,29.48,1007.64,-0.0664,-0.4219,-0.2070,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.716,-117.100,-0.435,
# RSSI=-87 SNR=11.25
103387,0.000000,0.000000,0.00,0,46.31,29.51,1007.70,0.0000,0.0000,0.0000,0.3477,-0.1250,2.2949,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.728,-110.500,-0.412,
# RSSI=-89 SNR=11.50
