time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr,time_s,accel_mag,alt_smooth,vz
2026-06-12 14:49:55,12.608959,100.941246,5.3,0,2286746,247.62,38.6,983.86,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.888,-103.4,-0.402,port1,-92,10.0,13.0,0.277712567234542,243.666,-inf
2026-06-12 14:49:56,12.608959,100.941246,5.3,0,2287438,225.98,38.6,986.4,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.872,-107.2,-0.415,port1,-92,10.25,14.0,0.277712567234542,216.57800000000003,-27.087999999999965
2026-06-12 14:49:57,12.608959,100.941246,5.3,0,2288134,199.98,38.6,989.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.88,-95.6,-0.371,port1,-97,7.75,15.0,0.277712567234542,192.22599999999997,-24.35200000000006
2026-06-12 14:49:58,12.607851,100.940933,5.3,0,2289533,143.94,38.62,996.08,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.656,-87.3,-0.319,port1,-96,3.0,16.0,0.277712567234542,169.972,-22.253999999999962
2026-06-12 14:49:59,12.607851,100.940933,5.3,0,2290232,143.61,38.35,996.12,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.616,-99.5,-0.36,port1,-97,7.0,17.0,0.277712567234542,150.764,-19.208
2026-06-12 14:49:59,12.607851,100.940933,5.3,0,2290932,136.35,38.21,996.98,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.708,-91.2,-0.338,port1,-100,3.5,17.0,0.277712567234542,136.318,-inf
2026-06-12 14:50:00,12.607851,100.940933,5.3,0,2291699,129.94,38.01,997.74,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.78,-96.9,-0.366,port1,-98,5.5,18.0,0.277712567234542,132.74200000000002,-3.5759999999999934
2026-06-12 14:50:01,12.607851,100.940933,5.3,0,2292500,127.75,37.81,998.0,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.796,-102.2,-0.388,port1,-97,7.25,19.0,0.277712567234542,128.42399999999998,-4.3180000000000405
2026-06-12 14:50:02,12.606485,100.940437,126.1,12,2293169,126.06,37.67,998.2,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.776,-99.1,-0.374,port1,-97,8.0,20.0,0.277712567234542,124.51400000000001,-3.909999999999968
2026-06-12 14:50:02,12.606485,100.940437,126.1,12,2293848,122.02,37.56,998.68,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.784,-105.4,-0.399,port1,-98,5.75,20.0,0.277712567234542,122.424,-inf
2026-06-12 14:50:03,12.606485,100.940437,126.1,12,2294525,116.8,37.49,999.3,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-101.3,-0.386,port1,-103,1.25,21.0,0.277712567234542,119.55999999999999,-2.8640000000000185
2026-06-12 14:50:04,12.606573,100.940445,118.6,12,2295203,119.49,37.33,998.98,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.808,-95.9,-0.365,port1,-105,-7.25,22.0,0.277712567234542,117.0,-2.559999999999988
2026-06-12 14:50:04,12.606573,100.940445,118.6,12,2295884,113.43,37.23,999.7,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.804,-100.4,-0.382,port1,-97,7.0,22.0,0.277712567234542,113.97,-inf
2026-06-12 14:50:05,12.606594,100.940491,118.6,12,2296571,113.26,37.08,999.72,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.776,-96.6,-0.365,port1,-90,10.5,23.0,0.277712567234542,111.68000000000002,-2.289999999999978
2026-06-12 14:50:06,12.606594,100.940491,118.6,12,2297256,106.87,37.01,1000.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.832,-95.6,-0.366,port1,-92,10.25,24.0,0.277712567234542,108.24600000000001,-3.4340000000000117
2026-06-12 14:50:06,12.606594,100.940491,118.6,12,2297940,105.35,36.85,1000.66,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.808,-98.6,-0.375,port1,-92,9.5,24.0,0.277712567234542,105.79,-inf
2026-06-12 14:50:07,12.606594,100.940491,118.6,12,2298626,102.32,36.74,1001.02,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.772,-95.9,-0.362,port2,-91,9.25,25.0,0.277712567234542,103.16600000000001,-2.6239999999999952
2026-06-12 14:50:08,12.606594,100.940491,118.6,12,2299313,101.15,36.61,1001.16,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.804,-97.3,-0.37,port1,-89,11.25,26.0,0.277712567234542,100.84400000000001,-2.3220000000000027
2026-06-12 14:50:09,12.606594,100.940491,118.6,12,2300001,100.14,36.51,1001.28,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.804,-94.1,-0.358,port1,-90,11.0,27.0,0.277712567234542,97.786,-3.058000000000007
2026-06-12 14:50:09,12.606594,100.940491,118.6,12,2300693,95.26,36.4,1001.86,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.772,-110.2,-0.416,port1,-88,11.25,27.0,0.277712567234542,94.39200000000001,-inf
2026-06-12 14:50:10,12.606686,100.940514,104.9,12,2301385,90.06,36.27,1002.48,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.784,-109.1,-0.413,port1,-86,11.5,28.0,0.277712567234542,91.334,-3.058000000000007
